Tempo,Empuxo,Pressao
90026,100.285721,0.000000
90055,229.909103,0.000000
90083,483.779236,0.000000
90111,1319.142944,0.000000
90139,3502.870361,0.000000
90168,18274.441406,0.000000
90196,32640.080078,0.000000
90227,43451.417969,0.000000
90255,46702.636719,0.000000
90283,46863.000000,0.000000
90311,47679.546875,0.000000
90340,47956.558594,0.000000
90368,49328.769531,0.000000
90396,49726.406250,0.000000
90425,50370.078125,0.000000
90453,51636.039062,0.000000
90481,51751.171875,0.000000
90510,52912.988281,0.000000
90540,53721.937500,0.000000
90568,54946.171875,0.000000
90602,55426.792969,0.000000
90824,60015.742188,0.000000
90853,61004.222656,0.000000
90882,61100.769531,0.000000
90910,61374.390625,0.000000
90938,61924.675781,0.000000
90967,62768.222656,0.000000
90995,62781.546875,0.000000
91023,63227.925781,0.000000
91052,64199.691406,0.000000
91080,64699.250000,0.000000
91108,65281.910156,0.000000
91137,65758.210938,0.000000
91165,65783.226563,0.000000
91193,66010.914063,0.000000
91222,66416.148438,0.000000
91252,67388.609375,0.000000
91280,67514.960938,0.000000
91309,68187.156250,0.000000
91337,68087.109375,0.000000
91365,68793.664062,0.000000
91393,68953.796875,0.000000
91421,69496.250000,0.000000
91450,69232.210938,0.000000
91478,69599.687500,0.000000
91506,70655.726563,0.000000
91534,69439.562500,0.000000
91562,70958.570313,0.000000
91591,70579.875000,0.000000
91619,70929.117188,0.000000
91647,71099.882813,0.000000
91675,71371.523438,0.000000
91705,71081.882813,0.000000
91734,70791.664063,0.000000
91762,70683.781250,0.000000
91792,70597.406250,0.000000
91820,70003.523438,0.000000
91849,69877.875000,0.000000
91877,70032.859375,0.000000
91905,71474.726563,0.000000
91933,70124.843750,0.000000
91961,69663.625000,0.000000
91989,68944.679688,0.000000
92017,69125.500000,0.000000
92045,70122.156250,0.000000
92073,68603.843750,0.000000
92102,68293.406250,0.000000
92130,67051.992188,0.000000
92158,68205.976563,0.000000
92186,67270.679688,0.000000
92214,66671.421875,0.000000
92242,67225.796875,0.000000
92270,66018.976563,0.000000
92301,65283.898437,0.000000
92329,63909.234375,0.000000
92357,64193.496094,0.000000
92385,62335.406250,0.000000
92414,62478.234375,0.000000
92442,62304.195312,0.000000
92470,61833.507812,0.000000
92499,60797.105469,0.000000
92527,59130.820313,0.000000
92557,57426.664062,0.000000
92585,56988.234375,0.000000
92614,55992.859375,0.000000
92642,53996.261719,0.000000
92670,51038.066406,0.000000
92698,48874.910156,0.000000
92727,45824.496094,0.000000
92755,43338.273437,0.000000
92783,37836.937500,0.000000
92814,33282.703125,0.000000
92842,27284.144531,0.000000
92870,24425.884766,0.000000
92898,19421.533203,0.000000
92927,16490.105469,0.000000
92955,12938.727539,0.000000
92983,9633.156250,0.000000
93012,7583.026367,0.000000
93040,5279.844238,0.000000
93068,3942.584473,0.000000
93096,2620.753418,0.000000
93125,1783.870239,0.000000
93153,973.402649,0.000000
93181,669.857178,0.000000
93209,225.818192,0.000000
93238,114.896111,0.000000
