Tempo,Empuxo,Pressao
101554,175.909103,0.000000
101573,416.337677,0.000000
101594,2311.013184,0.000000
101613,4469.376953,0.000000
101634,12046.208008,0.000000
101652,17725.441406,0.000000
101673,24607.871094,0.000000
101695,27290.222656,0.000000
101716,28534.558594,0.000000
101735,29186.300781,0.000000
101756,30475.988281,0.000000
101775,32061.041016,0.000000
101796,34831.171875,0.000000
101814,36427.910156,0.000000
101836,37701.937500,0.000000
101858,40535.183594,0.000000
101879,42544.636719,0.000000
101897,44925.898437,0.000000
101921,47091.273437,0.000000
101941,48958.484375,0.000000
101960,51427.519531,0.000000
101980,52063.949219,0.000000
102000,54533.574219,0.000000
102044,59577.082031,0.000000
102064,62038.289063,0.000000
102084,64557.351562,0.000000
102104,65842.367188,0.000000
102124,68222.921875,0.000000
102143,70342.132813,0.000000
102163,72910.992188,0.000000
102183,74408.960938,0.000000
102203,75090.625000,0.000000
102223,76654.757813,0.000000
102243,78055.953125,0.000000
102263,79617.390625,0.000000
102282,80185.796875,0.000000
102304,82543.562500,0.000000
102326,83181.156250,0.000000
102344,83537.882812,0.000000
102365,84900.742188,0.000000
102384,85943.921875,0.000000
102405,86725.640625,0.000000
102424,87764.734375,0.000000
102445,88308.585938,0.000000
102464,89144.304688,0.000000
102485,89779.093750,0.000000
102503,90252.351563,0.000000
102524,90706.796875,0.000000
102543,91783.406250,0.000000
102564,92289.273438,0.000000
102583,92606.031250,0.000000
102601,92781.703125,0.000000
102620,93076.835938,0.000000
102646,93842.656250,0.000000
102683,94258.054688,0.000000
102723,94357.289062,0.000000
102744,93820.445313,0.000000
102785,93831.078125,0.000000
102826,91846.757813,0.000000
102847,91110.976563,0.000000
102887,86904.351562,0.000000
102926,84186.937500,0.000000
102948,81356.382813,0.000000
102989,75500.765625,0.000000
103030,72039.742187,0.000000
103051,70186.914063,0.000000
103091,66325.796875,0.000000
103130,63106.832031,0.000000
103152,60997.792969,0.000000
103193,55829.574219,0.000000
103234,49687.714844,0.000000
103260,47303.066406,0.000000
103299,41596.015625,0.000000
103339,37437.898437,0.000000
103360,33549.898437,0.000000
103401,29056.560547,0.000000
103442,26623.404297,0.000000
103464,25098.896484,0.000000
103503,22472.884766,0.000000
103543,20713.792969,0.000000
103564,19880.533203,0.000000
103606,18042.195313,0.000000
103647,16403.494141,0.000000
103668,15686.065430,0.000000
103708,14395.325195,0.000000
103748,12771.467773,0.000000
103769,12329.065430,0.000000
103788,12348.117188,0.000000
103809,12072.741211,0.000000
103854,10688.844727,0.000000
103896,9592.247070,0.000000
103916,9100.052734,0.000000
103935,8738.883789,0.000000
103955,8509.792969,0.000000
103975,8258.259766,0.000000
103995,7857.818359,0.000000
104015,7647.078125,0.000000
104035,7787.104004,0.000000
104055,7642.636719,0.000000
104075,7257.623535,0.000000
104095,6769.402832,0.000000
104115,6316.831543,0.000000
104135,6083.883301,0.000000
104155,5660.766602,0.000000
104175,5214.623535,0.000000
104195,4930.480469,0.000000
104215,4491.467773,0.000000
104237,4243.091309,0.000000
104259,4089.272949,0.000000
104277,3974.260010,0.000000
104298,3672.116943,0.000000
104317,3374.065186,0.000000
104338,3053.220947,0.000000
104357,3031.948242,0.000000
104378,2842.714355,0.000000
104397,2557.636475,0.000000
104418,2403.116943,0.000000
104437,2078.181885,0.000000
104459,1917.116943,0.000000
104499,1520.181885,0.000000
104519,1434.389648,0.000000
104539,1333.870239,0.000000
104559,1184.610474,0.000000
104579,1073.571411,0.000000
104599,996.311707,0.000000
104622,798.545471,0.000000
104641,654.311707,0.000000
104662,571.909119,0.000000
104702,289.285736,0.000000
104722,175.090912,0.000000
104742,69.779221,0.000000
104762,11.688313,0.000000
