Time(s),Thrust(N)
0.0,1.7590910299999998
0.019,4.16337677
0.04,23.110131839999998
0.059,44.69376953
0.08,120.46208007999999
0.098,177.25441406000002
0.119,246.07871093999998
0.141,272.90222656000003
0.162,285.34558594
0.181,291.86300781
0.202,304.75988281
0.221,320.61041016
0.242,348.31171875
0.26,364.27910155999996
0.282,377.019375
0.304,405.35183594
0.325,425.44636719000005
0.343,449.25898437
0.367,470.91273437
0.387,489.58484375
0.406,514.27519531
0.426,520.63949219
0.446,545.33574219
0.49,595.77082031
0.51,620.38289063
0.53,645.5735156200001
0.55,658.42367188
0.57,682.22921875
0.589,703.42132813
0.609,729.10992188
0.629,744.0896093800001
0.649,750.90625
0.669,766.54757813
0.689,780.55953125
0.709,796.17390625
0.728,801.85796875
0.75,825.435625
0.772,831.8115625
0.79,835.37882812
0.811,849.00742188
0.83,859.43921875
0.851,867.25640625
0.87,877.64734375
0.891,883.08585938
0.91,891.44304688
0.931,897.7909375
0.949,902.52351563
0.97,907.06796875
0.989,917.8340625
1.01,922.8927343800001
1.029,926.0603125
1.047,927.81703125
1.066,930.76835938
1.092,938.4265625
1.129,942.58054688
1.169,943.57289062
1.19,938.20445313
1.231,938.31078125
1.272,918.46757813
1.293,911.1097656300001
1.333,869.04351562
1.372,841.869375
1.394,813.56382813
1.435,755.00765625
1.476,720.39742187
1.497,701.8691406300001
1.537,663.25796875
1.576,631.06832031
1.598,609.97792969
1.639,558.29574219
1.68,496.87714844000004
1.706,473.03066406
1.745,415.96015625
1.785,374.37898437
1.806,335.49898437
1.847,290.56560547000004
1.888,266.23404297
1.91,250.98896484
1.949,224.72884765999999
1.989,207.13792969
2.01,198.80533203
2.052,180.42195313
2.093,164.03494141
2.114,156.8606543
2.154,143.95325194999998
2.194,127.71467773
2.215,123.2906543
2.234,123.48117188
2.255,120.72741211
2.3,106.88844727
2.342,95.92247069999999
2.362,91.00052734
2.381,87.38883788999999
2.401,85.09792969
2.421,82.58259765999999
2.441,78.57818359
2.461,76.47078125
2.481,77.87104004
2.501,76.42636719000001
2.521,72.57623534999999
2.541,67.69402832
2.561,63.16831543
2.581,60.83883301
2.601,56.607666019999996
2.621,52.14623535
2.641,49.30480469
2.661,44.91467773
2.683,42.430913090000004
2.705,40.89272949
2.723,39.7426001
2.744,36.72116943
2.763,33.74065186
2.784,30.532209469999998
2.803,30.31948242
2.824,28.42714355
2.843,25.576364749999996
2.864,24.03116943
2.883,20.78181885
2.905,19.17116943
2.945,15.20181885
2.965,14.343896480000002
2.985,13.338702390000002
3.005,11.846104740000001
3.025,10.735714109999998
3.045,9.96311707
3.068,7.98545471
3.087,6.543117069999999
3.108,5.71909119
3.148,2.89285736
3.168,1.75090912
3.188,0.69779221
3.208,0.11688313
