Time(s),Thrust(N)
0.0,0.36
0.025,0.44298702
0.05,0.6545455200000001
0.075,0.56688313
0.101,1.02740265
0.126,1.84441559
0.151,3.4422079500000002
0.179,9.294545900000001
0.204,82.11039062
0.229,222.7546875
0.255,411.89378905999996
0.28,485.39105469000003
0.306,667.94609375
0.331,839.33765625
0.357,942.20304688
0.382,1014.14460937
0.407,1070.1222656300001
0.433,1147.52929687
0.458,1254.07171875
0.484,1392.38890625
0.509,1485.4875
0.534,1552.12953125
0.56,1589.661875
0.585,1626.09203125
0.611,1645.9340625
0.635,1674.3015625
0.662,1704.22015625
0.688,1716.77
0.713,1720.611875
0.739,1736.45890625
0.764,1751.3253125
0.79,1759.3246875
0.815,1767.9296875
0.84,1775.97125
0.866,1784.5446875
0.891,1785.70296875
0.917,1789.6559375
0.942,1797.41
0.967,1789.18015625
0.993,1777.62390625
1.018,1759.7315625
1.044,1740.609375
1.071,1739.99921875
1.097,1722.6596875
1.122,1710.63359375
1.148,1711.305625
1.173,1698.10484375
1.198,1667.32609375
1.224,1661.16984375
1.249,1647.27703125
1.275,1639.953125
1.3,1647.93625
1.325,1617.40765625
1.351,1609.49234375
1.376,1578.90625
1.402,1544.09609375
1.427,1522.13375
1.454,1476.84859375
1.48,1416.896875
1.507,1332.71421875
1.533,1158.13289063
