Time(s),Thrust(N)
0,0
0.026,0.036
0.051,0.044298701999999995
0.076,0.06545455200000001
0.101,0.056688313000000004
0.127,0.102740265
0.152,0.184441559
0.177,0.344220795
0.205,0.9294545900000001
0.23,8.211039062
0.255,22.27546875
0.281,41.189378905999995
0.306,48.539105469
0.332,66.794609375
0.357,83.933765625
0.383,94.220304688
0.408,101.414460937
0.433,107.012226563
0.459,114.75292968699999
0.484,125.407171875
0.51,139.238890625
0.535,148.54875
0.56,155.212953125
0.586,158.9661875
0.611,162.609203125
0.637,164.59340625
0.661,167.43015625
0.688,170.422015625
0.714,171.677
0.739,172.0611875
0.765,173.645890625
0.79,175.13253125
0.816,175.93246875
0.841,176.79296875
0.866,177.597125
0.892,178.45446875
0.917,178.570296875
0.943,178.96559375
0.968,179.741
0.993,178.918015625
1.019,177.762390625
1.044,175.97315625
1.07,174.0609375
1.097,173.999921875
1.123,172.26596875
1.148,171.063359375
1.174,171.1305625
1.199,169.810484375
1.224,166.732609375
1.25,166.116984375
1.275,164.727703125
1.301,163.9953125
1.326,164.793625
1.351,161.740765625
1.377,160.949234375
1.402,157.890625
1.428,154.409609375
1.453,152.213375
1.48,147.684859375
1.506,141.6896875
1.533,133.271421875
1.559,115.813289063
1.584,101.18746875
1.61,86.9635
1.635,72.237273438
1.66,55.180988281
1.686,46.641859375
1.711,40.146546875
1.736,32.507416016
1.762,28.510714844
1.787,26.451351562
1.813,23.595779297
1.838,21.584337891
1.863,20.723259765999998
1.889,19.587273437
1.914,18.523519531
1.94,17.184625
1.967,16.756248047
1.993,16.024325195
2.018,16.230273438
2.044,15.578766602
2.069,13.973727538999999
2.094,13.9023125
2.12,12.704026367
2.145,12.340052734
2.171,11.532624023
2.196,10.821624023
