Tempo,Empuxo,Pressao
2719,-18.935066,0.000000
2750,10.285715,0.000000
2774,-34.597404,0.000000
2799,-17.883118,0.000000
2823,-0.935065,0.000000
2847,0.116883,0.000000
2872,-7.948052,0.000000
2896,-0.467532,0.000000
2920,-30.974028,0.000000
2945,308.337677,0.000000
2969,-18.935066,0.000000
2993,-11.805195,0.000000
3018,-10.636364,0.000000
3042,4.558442,0.000000
3066,7.012987,0.000000
3090,29.688313,0.000000
3115,5.961039,0.000000
3139,-11.922078,0.000000
3168,-0.935065,0.000000
3193,-0.701299,0.000000
3218,4.090909,0.000000
3244,-15.311689,0.000000
3268,-0.116883,0.000000
3293,-3.857143,0.000000
3317,-47.922081,0.000000
3342,-32.844158,0.000000
3366,-7.948052,0.000000
3391,5.025974,0.000000
3415,-9.000000,0.000000
3440,-16.948053,0.000000
3464,-10.519481,0.000000
3489,-5.727273,0.000000
3513,-1.402597,0.000000
3538,8.298701,0.000000
3562,11.337663,0.000000
3587,-9.818182,0.000000
3611,4.441559,0.000000
3636,-8.766234,0.000000
3660,2.220779,0.000000
3685,-0.935065,0.000000
3709,-9.935065,0.000000
3734,-17.649351,0.000000
3760,-3.857143,0.000000
3785,-1.402597,0.000000
3809,-20.220779,0.000000
3834,-15.779222,0.000000
3858,-13.207792,0.000000
3883,12.272728,0.000000
3912,12.857143,0.000000
3938,-2.805195,0.000000
3963,-6.311688,0.000000
3987,-19.285715,0.000000
4012,-18.818182,0.000000
4036,-15.428572,0.000000
4061,-18.701300,0.000000
4085,-35.064938,0.000000
4110,-22.324677,0.000000
4134,-29.337664,0.000000
4159,-26.064936,0.000000
4183,-32.142857,0.000000
4208,-18.935066,0.000000
4232,-16.129871,0.000000
4257,-11.571429,0.000000
4283,4.792208,0.000000
4308,1.168831,0.000000
4332,-15.896105,0.000000
4356,-31.324677,0.000000
4381,-24.662338,0.000000
4405,-12.155845,0.000000
4430,5.610390,0.000000
4454,-17.766235,0.000000
4479,-16.948053,0.000000
4503,-17.649351,0.000000
4527,7.831169,0.000000
4552,-5.961039,0.000000
4577,-6.077922,0.000000
4601,-18.000000,0.000000
4625,-28.168833,0.000000
4654,-28.753248,0.000000
4680,-27.233767,0.000000
4705,-0.818182,0.000000
4729,-10.987014,0.000000
4753,-4.324676,0.000000
4778,-28.051949,0.000000
4805,-24.194807,0.000000
4829,-18.350651,0.000000
4854,27.000002,0.000000
4878,-1.636364,0.000000
4903,6.779221,0.000000
4927,-20.922079,0.000000
4952,-22.792210,0.000000
4976,-20.805195,0.000000
5001,-7.129870,0.000000
5025,-19.870131,0.000000
5050,-15.428572,0.000000
5074,-31.675325,0.000000
5099,-10.051949,0.000000
5123,-12.857143,0.000000
5148,-12.038961,0.000000
5177,-22.558443,0.000000
5202,-14.727273,0.000000
5226,-21.740261,0.000000
5251,-2.454545,0.000000
5275,-26.649351,0.000000
5302,-22.441559,0.000000
5326,-7.948052,0.000000
5351,3.740260,0.000000
5375,-23.025974,0.000000
5403,-12.272728,0.000000
5431,-4.324676,0.000000
5456,-24.311689,0.000000
5481,-14.844156,0.000000
5505,-36.935066,0.000000
5530,-30.272728,0.000000
5554,-6.896104,0.000000
5579,3.623377,0.000000
5604,-2.337662,0.000000
5628,-24.194807,0.000000
5653,-24.896105,0.000000
5677,-20.454546,0.000000
5702,-12.038961,0.000000
5726,2.103896,0.000000
5751,-7.831169,0.000000
5775,-15.311689,0.000000
5800,-31.558443,0.000000
5827,-25.597404,0.000000
5851,-14.610390,0.000000
5876,-23.610390,0.000000
5900,-27.000002,0.000000
5925,-35.532471,0.000000
5949,-8.649351,0.000000
5974,-14.493507,0.000000
5999,-7.129870,0.000000
6023,-31.324677,0.000000
6048,-21.974028,0.000000
6072,-10.285715,0.000000
6096,-24.428572,0.000000
6121,-48.506496,0.000000
6145,-32.025974,0.000000
6175,-36.350651,0.000000
6200,-7.363636,0.000000
6224,-12.740260,0.000000
6249,-8.532468,0.000000
6273,-27.818182,0.000000
6298,-16.363638,0.000000
6322,-36.116886,0.000000
6349,-19.636364,0.000000
6373,-6.545455,0.000000
6397,-40.324677,0.000000
6422,-43.714287,0.000000
6446,-10.753247,0.000000
6470,-23.610390,0.000000
6495,-27.584417,0.000000
6519,-12.389611,0.000000
6543,-24.428572,0.000000
6568,-9.584416,0.000000
6592,-14.142858,0.000000
6616,-31.792210,0.000000
6640,-23.961040,0.000000
6665,-37.402599,0.000000
6689,-25.714287,0.000000
6714,-18.935066,0.000000
6738,-24.896105,0.000000
6762,-20.805195,0.000000
6787,-24.428572,0.000000
6811,-32.259743,0.000000
6835,-32.376625,0.000000
6862,-11.922078,0.000000
6886,2.220779,0.000000
6913,-8.532468,0.000000
6940,-19.987013,0.000000
6964,11.337663,0.000000
6989,-20.103897,0.000000
7013,-25.714287,0.000000
7037,-16.948053,0.000000
7062,-22.207792,0.000000
7086,6.545455,0.000000
7111,-42.779221,0.000000
7135,0.584416,0.000000
7159,-39.155846,0.000000
7183,-18.233767,0.000000
7208,-37.285717,0.000000
7232,-17.298702,0.000000
7256,-28.753248,0.000000
7281,-14.727273,0.000000
7305,-27.818182,0.000000
7329,-36.584415,0.000000
7356,-16.831169,0.000000
7380,-7.480520,0.000000
7405,-22.324677,0.000000
7429,-23.727274,0.000000
7454,-16.597403,0.000000
7478,-37.402599,0.000000
7503,-32.259743,0.000000
7527,0.467532,0.000000
7551,-33.779221,0.000000
7576,-46.753250,0.000000
7600,-29.220779,0.000000
7625,-45.350651,0.000000
7649,-16.129871,0.000000
7679,-26.298702,0.000000
7704,-25.597404,0.000000
7728,-43.363640,0.000000
7752,-27.701300,0.000000
7777,-35.649353,0.000000
7801,-5.727273,0.000000
7826,-29.571430,0.000000
7850,-36.350651,0.000000
7877,-40.090912,0.000000
7902,-31.207794,0.000000
7926,-21.740261,0.000000
7951,-51.896107,0.000000
7975,-28.402599,0.000000
8000,-31.324677,0.000000
8024,-26.064936,0.000000
8048,-16.246754,0.000000
8073,980454.875000,0.000000
8097,-25.948053,0.000000
8122,-21.389610,0.000000
8146,-36.584415,0.000000
8171,-19.636364,0.000000
8195,-32.961040,0.000000
8220,-37.285717,0.000000
8244,-33.662338,0.000000
8269,-33.077923,0.000000
8293,-12.623377,0.000000
8318,-29.337664,0.000000
8342,-11.688313,0.000000
8369,-39.974026,0.000000
8393,-13.675325,0.000000
8423,-16.129871,0.000000
8448,-34.480522,0.000000
8472,-24.545456,0.000000
8496,-44.766235,0.000000
8521,-23.844156,0.000000
8545,-45.233768,0.000000
8570,-50.259743,0.000000
8594,-42.896107,0.000000
8619,-8.064936,0.000000
8643,-34.363636,0.000000
8668,-42.311691,0.000000
8692,-18.467533,0.000000
8717,-7.246754,0.000000
8741,-37.168831,0.000000
8766,-36.935066,0.000000
8790,-28.051949,0.000000
8814,-45.935066,0.000000
8839,-16.831169,0.000000
8863,-17.064936,0.000000
8890,-8.649351,0.000000
