Time(s),Thrust(N)
0.0,1.00285721
0.029,2.29909103
0.057,4.83779236
0.085,13.19142944
0.113,35.02870361
0.142,182.74441406000003
0.17,326.40080078
0.201,434.51417969
0.229,467.02636719000003
0.257,468.63
0.285,476.79546875
0.314,479.56558594
0.342,493.28769531
0.37,497.2640625
0.399,503.70078125
0.427,516.3603906200001
0.455,517.51171875
0.484,529.12988281
0.514,537.219375
0.542,549.46171875
0.576,554.2679296900001
0.798,600.15742188
0.827,610.04222656
0.856,611.00769531
0.884,613.74390625
0.912,619.24675781
0.941,627.68222656
0.969,627.81546875
0.997,632.27925781
1.026,641.99691406
1.054,646.9925
1.082,652.81910156
1.111,657.58210938
1.139,657.83226563
1.167,660.1091406300001
1.196,664.16148438
1.226,673.88609375
1.254,675.14960938
1.283,681.8715625
1.311,680.87109375
1.339,687.9366406199999
1.367,689.53796875
1.395,694.9625
1.424,692.32210938
1.452,695.996875
1.48,706.5572656300001
1.508,694.395625
1.536,709.5857031300001
1.565,705.79875
1.593,709.2911718800001
1.621,710.99882813
1.649,713.7152343800001
1.679,710.81882813
1.708,707.9166406300001
1.736,706.8378125
1.766,705.9740625
1.794,700.03523438
1.823,698.77875
1.851,700.32859375
1.879,714.74726563
1.907,701.2484375
1.935,696.63625
1.963,689.4467968800001
1.991,691.255
2.019,701.2215625
2.047,686.0384375
2.076,682.9340625
2.104,670.5199218800001
2.132,682.05976563
2.16,672.7067968800001
2.188,666.71421875
2.216,672.25796875
2.244,660.18976563
2.275,652.83898437
2.303,639.09234375
2.331,641.93496094
2.359,623.3540625
2.388,624.78234375
2.416,623.04195312
2.444,618.33507812
2.473,607.9710546900001
2.501,591.3082031299999
2.531,574.2666406200001
2.559,569.88234375
2.588,559.92859375
2.616,539.9626171900001
2.644,510.38066405999996
2.672,488.74910156
2.701,458.24496094
2.729,433.38273437000004
2.757,378.369375
2.788,332.82703125
2.816,272.84144531000004
2.844,244.25884766
2.872,194.21533202999998
2.901,164.90105469
2.929,129.38727538999999
2.957,96.3315625
2.986,75.83026367000001
3.014,52.79844238
3.042,39.42584473
3.07,26.207534179999996
3.099,17.83870239
3.127,9.73402649
3.155,6.69857178
3.183,2.25818192
3.212,1.1489611100000001
