Time(s),Thrust(N)
165281,-6.077922
165307,36.0
165332,44.298702
165357,65.454552
165382,56.688313
165408,102.740265
165433,184.441559
165458,344.220795
165486,929.45459
165511,8211.039062
165536,22275.46875
165562,41189.378906
165587,48539.105469
165613,66794.609375
165638,83933.765625
165664,94220.304688
165689,101414.460937
165714,107012.226563
165740,114752.929687
165765,125407.171875
165791,139238.890625
165816,148548.75
165841,155212.953125
165867,158966.1875
165892,162609.203125
165918,164593.40625
165942,167430.15625
165969,170422.015625
165995,171677.0
166020,172061.1875
166046,173645.890625
166071,175132.53125
166097,175932.46875
166122,176792.96875
166147,177597.125
166173,178454.46875
166198,178570.296875
166224,178965.59375
166249,179741.0
166274,178918.015625
166300,177762.390625
166325,175973.15625
166351,174060.9375
166378,173999.921875
166404,172265.96875
166429,171063.359375
166455,171130.5625
166480,169810.484375
166505,166732.609375
166531,166116.984375
166556,164727.703125
166582,163995.3125
166607,164793.625
166632,161740.765625
166658,160949.234375
166683,157890.625
166709,154409.609375
166734,152213.375
166761,147684.859375
166787,141689.6875
166814,133271.421875
166840,115813.289063
166865,101187.46875
166891,86963.5
166916,72237.273438
166941,55180.988281
166967,46641.859375
166992,40146.546875
167017,32507.416016
167043,28510.714844
167068,26451.351562
167094,23595.779297
167119,21584.337891
167144,20723.259766
167170,19587.273437
167195,18523.519531
167221,17184.625
167248,16756.248047
167274,16024.325195
167299,16230.273438
167325,15578.766602
167350,13973.727539
167375,13902.3125
167401,12704.026367
167426,12340.052734
167452,11532.624023
167477,10821.624023
167503,10239.195313
167530,9676.987305
167555,8822.455078
167581,8312.026367
167606,7678.168945
167632,6882.545898
167657,6192.117188
167682,5576.961426
167710,4878.117188
167735,4596.312012
167761,4393.753418
167786,3880.987061
167812,3264.545654
167837,2988.701416
167862,2671.246826
167888,2392.480713
167913,2248.714355
167939,2124.233887
167964,2030.96106
167990,1817.883179
168015,1725.311768
168040,1636.714355
168066,1501.363647
168091,1402.246826
168117,1333.753296
168142,1270.052002
168169,1161.116943
168195,1091.922119
168220,1071.233765
168245,955.753296
168270,957.389648
168298,898.363647
168323,857.103943
168348,848.220825
168374,825.077942
168399,785.337708
168424,760.675354
168449,757.870178
168475,726.311707
168500,694.402649
168525,685.285767
168550,674.883118
168576,673.831177
168601,631.753296
168626,610.597412
168654,613.519531
168679,603.0
168704,559.168823
168730,577.636414
168755,565.246765
168780,548.415588
168805,550.051941
168831,531.818176
168856,518.844177
168881,494.649384
168907,482.142883
168932,460.519501
168957,461.454559
168982,447.545471
169008,451.98703
169033,428.844177
169058,413.064941
169086,403.48053
169111,383.49353
169138,391.909119
169164,398.337677
169189,381.857147
169214,381.389618
169240,360.46756
169265,377.298706
169291,369.935089
169316,338.727295
169342,368.766235
169367,362.220795
169392,337.675323
169418,321.545471
169443,340.129883
169469,323.532471
169494,319.792206
169519,315.350647
169545,311.844177
169570,301.207794
169596,297.116882
169623,301.675323
169649,304.363647
169674,288.935089
169699,297.350647
169725,270.467529
169750,278.181824
169776,270.935089
169801,254.103912
169826,287.883118
169854,253.75325
169879,253.519485
169905,247.792221
169930,231.077927
169956,246.97403
169981,242.883133
170006,235.75325
170032,222.896118
170057,231.896118
170083,234.584427
170110,223.246765
170136,221.493515
170161,205.129883
170187,221.025986
170212,215.766235
170237,234.701309
170263,208.402603
170288,205.948059
170313,218.220795
170339,210.038971
170364,201.038971
170390,184.675339
170415,190.519485
170440,216.584427
170466,199.051956
170491,197.649353
170517,205.246765
170542,187.597412
170567,158.376633
170595,191.454559
170622,200.103897
170648,186.896118
170673,186.896118
170698,187.013
170724,167.025986
170749,178.013
170775,181.168839
170800,188.766235
170825,145.75325
170851,189.818192
170876,164.103897
170902,156.857147
170927,159.194809
170952,168.896103
170978,173.337662
171003,133.831177
171029,165.857147
171054,156.857147
171081,162.935074
171107,180.818192
171132,144.116882
171158,154.636368
171183,165.5065
171208,160.013
171234,155.922089
171259,151.363647
171285,150.779221
171310,158.610397
171336,138.97403
171361,134.064941
171389,134.532471
171414,134.415588
171439,165.5065
171465,168.311691
171490,142.363647
171516,166.090912
171541,155.337662
171569,155.220779
171594,139.324677
171619,163.051956
171645,157.090912
171670,145.285721
171696,122.259743
171721,137.571426
171746,133.363647
171772,135.467545
171797,139.324677
171823,162.935074
171848,146.220779
171873,149.25975
171899,139.558441
171924,116.181824
171950,130.792206
171975,110.922081
172000,145.519485
172026,133.363647
172053,136.519485
172079,129.389618
172104,108.818184
172129,116.649353
172156,131.493515
172182,109.168839
172207,110.805199
172232,109.402603
172257,123.779228
172283,123.779228
172308,118.870132
172333,145.75325
172359,122.844162
172384,95.844162
172409,95.61039
172434,148.675323
172460,97.948059
172485,118.987015
172510,89.415588
172538,125.415588
172563,122.376625
172588,105.311691
172613,129.272736
172639,121.207794
172664,131.493515
172689,109.987015
172714,120.97403
172740,110.454552
172765,103.558449
172790,116.649353
172816,113.610397
172841,104.493507
172866,73.168831
172891,103.792213
172917,124.831177
172944,110.805199
172969,117.000008
172995,105.662338
173022,91.987015
173047,125.064941
173073,96.545456
173098,69.194809
173124,58.675327
173149,70.597404
173175,51.311691
173200,64.987015
173226,80.181824
173251,60.545456
173396,15.545455
173568,-37.051949
173594,-13.207792
173620,25.012987
173645,3.272727
173670,15.194806
173696,11.220779
173721,3.272727
173747,15.311689
173772,21.740261
173800,5.025974
173826,18.350651
