Tempo,Empuxo,Pressao
277280,164.454559,0.000000
277308,306.350647,0.000000
277336,2978.766357,0.000000
277364,13289.026367,0.000000
277393,16632.234375,0.000000
277421,14996.337891,0.000000
277449,15071.844727,0.000000
277478,16027.130859,0.000000
277508,17711.066406,0.000000
277536,18341.650391,0.000000
277564,18970.832031,0.000000
277593,19761.664062,0.000000
277621,20364.429687,0.000000
277649,21138.896484,0.000000
277678,21702.740234,0.000000
277706,22217.259766,0.000000
277734,22613.494141,0.000000
277765,23178.625000,0.000000
277793,23736.974609,0.000000
277821,24220.052734,0.000000
277849,24670.871094,0.000000
277878,25372.404297,0.000000
277906,26004.507813,0.000000
277934,26209.753906,0.000000
277962,27159.781250,0.000000
277991,27797.728516,0.000000
278019,27810.234375,0.000000
278047,28528.130859,0.000000
278075,28428.312500,0.000000
278104,28914.078125,0.000000
278132,29079.234375,0.000000
278160,29040.312500,0.000000
278189,29037.273437,0.000000
278217,29679.896484,0.000000
278245,29371.443359,0.000000
278272,29153.923828,0.000000
278300,29099.105469,0.000000
278328,28548.585937,0.000000
278359,27905.144531,0.000000
278387,27401.962891,0.000000
278415,26434.404297,0.000000
278444,26197.482422,0.000000
278472,25258.675781,0.000000
278500,25051.675781,0.000000
278528,24734.222656,0.000000
278556,24564.507813,0.000000
278585,23774.611328,0.000000
278613,23315.376953,0.000000
278641,23158.871094,0.000000
278670,22499.416016,0.000000
278698,21723.779297,0.000000
278726,21552.896484,0.000000
278756,20947.208984,0.000000
278785,20068.597656,0.000000
278813,20049.664062,0.000000
278841,19245.273438,0.000000
278869,18404.533203,0.000000
278898,17508.507813,0.000000
278926,17033.960938,0.000000
278954,15890.727539,0.000000
278983,14780.688477,0.000000
279011,14263.481445,0.000000
279039,12963.156250,0.000000
279067,11420.766602,0.000000
279096,10356.312500,0.000000
279124,9192.857422,0.000000
279152,8173.286133,0.000000
279180,6858.233887,0.000000
279209,4784.610352,0.000000
279239,3064.441650,0.000000
279269,2606.844238,0.000000
279298,1425.623413,0.000000
279326,1054.402588,0.000000
279354,726.428589,0.000000
279382,618.077942,0.000000
279411,563.376648,0.000000
