Time(s),Thrust(N)
0,0
0.03,386.75475
0.06,394.22353
0.09,401.65516
0.12,409.04974
0.15,416.40738
0.18,423.72819
0.21,431.01225
0.24,438.25965
0.27,445.47051
0.3,452.64489
0.33,459.78289
0.36,466.88459
0.39,473.95007
0.42,480.97941
0.45,487.97268
0.48,494.92997
0.51,501.85134
0.54,508.73686
0.57,515.5866
0.6,522.40063
0.63,529.17902
0.66,535.92182
0.69,542.62911
0.72,549.30093
0.75,555.93735
0.78,562.53842
0.81,569.10421
0.84,575.63477
0.87,582.13014
0.9,588.59039
0.93,595.01556
0.96,601.4057
0.99,607.76087
1.02,614.08111
1.05,620.36646
1.08,626.61698
1.11,632.8327
1.14,639.01367
1.17,645.15994
1.2,651.27155
1.23,657.34853
1.26,663.39093
1.29,669.39879
1.32,675.37214
1.35,681.31103
1.38,687.21549
1.41,693.08556
1.44,698.92127
1.47,704.72266
1.5,710.48976
1.53,716.22262
1.56,721.92125
1.59,727.58569
1.62,733.21598
1.65,738.81215
1.68,744.37422
1.71,749.90223
1.74,755.39621
1.77,760.85618
1.8,766.28218
1.83,771.67424
1.86,777.03237
1.89,782.35662
1.92,787.647
1.95,792.90354
1.98,798.12627
2.01,803.31521
2.04,808.47039
2.07,813.59184
2.1,818.67957
2.13,823.73361
2.16,828.75399
2.19,833.74073
2.22,838.69384
2.25,843.61336
2.28,848.49931
2.31,853.3517
2.34,858.17056
2.37,862.95591
2.4,867.70776
2.43,872.42615
2.46,877.11109
2.49,881.76259
2.52,886.38069
2.55,890.96539
2.58,895.51672
2.61,900.03469
2.64,904.51933
2.67,908.97065
2.7,913.38867
2.73,917.77341
2.76,922.12488
2.79,926.4431
2.82,0.0
