Time(s),Thrust(N)
0.0,1.64454559
0.028,3.0635064699999996
0.056,29.78766357
0.084,132.89026367
0.113,166.32234375
0.141,149.96337891
0.169,150.71844726999998
0.198,160.27130859000002
0.228,177.11066406
0.256,183.41650391
0.284,189.70832031
0.313,197.61664062
0.341,203.64429687
0.369,211.38896484
0.398,217.02740234
0.426,222.17259765999998
0.454,226.13494140999998
0.485,231.78625
0.513,237.36974609
0.541,242.20052734
0.569,246.70871093999997
0.598,253.72404297
0.626,260.04507813
0.654,262.09753906000003
0.682,271.5978125
0.711,277.97728516
0.739,278.10234375
0.767,285.28130859
0.795,284.283125
0.824,289.14078125
0.852,290.79234375
0.88,290.403125
0.909,290.37273437
0.937,296.79896484
0.965,293.71443359
0.992,291.53923828
1.02,290.99105469
1.048,285.48585937
1.079,279.05144531
1.107,274.01962891
1.135,264.34404297000003
1.164,261.97482422
1.192,252.58675781000002
1.22,250.51675781000003
1.248,247.34222656000003
1.276,245.64507813
1.305,237.74611328
1.333,233.15376952999998
1.361,231.58871093999997
1.39,224.99416015999998
1.418,217.23779297000002
1.446,215.52896484000001
1.476,209.47208984
1.505,200.68597656000003
1.533,200.49664062
1.561,192.45273438
1.589,184.04533203
1.618,175.08507813
1.646,170.33960938
1.674,158.90727539
1.703,147.80688477
1.731,142.63481445
1.759,129.6315625
1.787,114.20766601999999
1.816,103.563125
1.844,91.92857421999999
1.872,81.73286132999999
1.9,68.58233887
1.929,47.84610352
1.959,30.644416500000002
1.989,26.06844238
2.018,14.256234130000001
2.046,10.54402588
2.074,7.26428589
2.102,6.18077942
2.131,5.63376648
