Time(s),Thrust(N)
0,0
0.03,257.1537
0.06,263.04149
0.09,268.86432
0.12,274.62469
0.15,280.32495
0.18,285.96731
0.21,291.55383
0.24,297.08645
0.27,302.567
0.3,308.54226
0.33,315.54186
0.36,322.53777
0.39,329.53004
0.42,336.51874
0.45,343.50395
0.48,350.48572
0.51,357.46411
0.54,364.43918
0.57,371.41099
0.6,378.37959
0.63,385.34504
0.66,392.30738
0.69,399.26668
0.72,406.22296
0.75,413.17629
0.78,420.12671
0.81,427.07425
0.84,434.01897
0.87,440.96091
0.9,447.9001
0.93,454.83658
0.96,461.7704
0.99,468.70158
1.02,475.63017
1.05,482.5562
1.08,489.4797
1.11,496.40071
1.14,503.31926
1.17,510.23538
1.2,517.1491
1.23,524.06045
1.26,530.96947
1.29,0.0
